table_id,page_title,section_title,table_caption,headers,sample_data
table-0395-845,Natalia Zuyeva,Detailed Olympic results,Detailed Olympic results,"[""Year"", ""Competition Description"", ""Location"", ""Music"", ""Apparatus"", ""Score-Final"", ""Score-Qualifying""]","[[""2008"", ""Olympics"", ""[Beijing|Beijing]"", """", ""Group All-around"", ""35.550"", ""34.700""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Bombay_Dreams|Bombay Dreams]"", ""5 Ropes"", ""17.750"", ""17.000""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Maxime_Rodriguez|Maxime Rodriguez]"", ""3 Hoops / 2 Clubs"", ""17.800"", ""17.700""]]"
table-0395-923,Evolutionary origin of religions,Origins of organized religion,Social evolution of humans,"[""[Before_Present|years ago]"", ""Society type"", ""Number of individuals""]","[[""100,000\u201310,000"", ""Bands"", ""10s\u2013100s""], [""10,000\u20135,000"", ""Tribes"", ""100s\u20131,000s""], [""5,000\u20133,000"", ""Chiefdoms"", ""1,000s\u201310,000s""]]"
table-0396-314,Daria Shkurikhina,Detailed Olympic results,Detailed Olympic results,"[""Year"", ""Competition Description"", ""Location"", ""Music"", ""Apparatus"", ""Score-Final"", ""Score-Qualifying""]","[[""2008"", ""Olympics"", ""[Beijing|Beijing]"", """", ""Group All-around"", ""35.550"", ""34.700""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Bombay_Dreams|Bombay Dreams]"", ""5 Ropes"", ""17.750"", ""17.000""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Maxime_Rodriguez|Maxime Rodriguez]"", ""3 Hoops / 2 Clubs"", ""17.800"", ""17.700""]]"
table-0396-315,Margarita Aliychuk,Detailed Olympic results,Detailed Olympic results,"[""Year"", ""Competition Description"", ""Location"", ""Music"", ""Apparatus"", ""Score-Final"", ""Score-Qualifying""]","[[""2008"", ""Olympics"", ""[Beijing|Beijing]"", """", ""Group All-around"", ""35.550"", ""34.700""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Bombay_Dreams|Bombay Dreams]"", ""5 Ropes"", ""17.750"", ""17.000""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Maxime_Rodriguez|Maxime Rodriguez]"", ""3 Hoops / 2 Clubs"", ""17.800"", ""17.700""]]"
table-0396-316,Anna Gavrilenko,Detailed Olympic results,Detailed Olympic results,"[""Year"", ""Competition Description"", ""Location"", ""Music"", ""Apparatus"", ""Score-Final"", ""Score-Qualifying""]","[[""2008"", ""Olympics"", ""[Beijing|Beijing]"", """", ""Group All-around"", ""35.550"", ""34.700""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Bombay_Dreams|Bombay Dreams]"", ""5 Ropes"", ""17.750"", ""17.000""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Maxime_Rodriguez|Maxime Rodriguez]"", ""3 Hoops / 2 Clubs"", ""17.800"", ""17.700""]]"
table-0396-317,Tatiana Gorbunova,Detailed Olympic results,Detailed Olympic results,"[""Year"", ""Competition Description"", ""Location"", ""Music"", ""Apparatus"", ""Score-Final"", ""Score-Qualifying""]","[[""2008"", ""Olympics"", ""[Beijing|Beijing]"", """", ""Group All-around"", ""35.550"", ""34.700""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Bombay_Dreams|Bombay Dreams]"", ""5 Ropes"", ""17.750"", ""17.000""], [""2008"", ""Olympics"", ""[Beijing|Beijing]"", ""[Maxime_Rodriguez|Maxime Rodriguez]"", ""3 Hoops / 2 Clubs"", ""17.800"", ""17.700""]]"
table-0397-591,Utility Group,The Kennel Club (UK) Utility Group,Comparison of The Kennel Club Utility Groups breeds with breed group placement by other major kennel clubs Kennel Club Group information: Fédération Cynologique Internationale breed nomenclature The Kennel Club Dog Groups Australian National Kennel Council breeds by group New Zealand Kennel Club Groups Canadian Kennel Club breeds and Groups American Kennel Club complete breed list,"[""Breed"", ""[F\u00e9d\u00e9ration_Cynologique_Internationale|F\u00e9d\u00e9ration Cynologique Internationale]"", ""[Australian_National_Kennel_Council|Australian National Kennel Council]"", ""[New_Zealand_Kennel_Club|New Zealand Kennel Club]"", ""[Canadian_Kennel_Club|Canadian Kennel Club]"", ""[American_Kennel_Club|American Kennel Club]""]","[[""[Akita_(dog)|Akita]"", ""Group 5 Spitz and Primitive types/Section 5: Asian Spitz and related breeds (no.344)"", ""Utility Group"", ""Utility Group"", ""Only one breed of Akita, in Group 3 Working Dogs"", ""Only one breed of Akita, in the Working Group""], [""[Boston_Terrier|Boston Terrier]"", ""Group 9 Terriers/Section 3: Bull type Terriers"", ""Group 7 (Non Sporting)"", ""Non-Sporting Group"", ""Group 6 Non-Sporting"", ""Non-Sporting Group""], [""[Bulldog|Bulldog]"", ""Group 2, Section 2: Molossoid breeds"", ""Group 7 (Non Sporting) (British Bulldog)"", ""Non-Sporting Group"", ""Group 6 Non-Sporting"", ""Non-Sporting Group""]]"
table-0397-592,Utility Group,New Zealand and Australia Utility Groups,Comparison of New Zealand and Australia Utility Groups breeds with breed group placement by other major kennel clubs,"[""Breed"", ""[Australian_National_Kennel_Council|Australian National Kennel Council]"", ""[New_Zealand_Kennel_Club|New Zealand Kennel Club]"", ""[F\u00e9d\u00e9ration_Cynologique_Internationale|F\u00e9d\u00e9ration Cynologique Internationale]"", ""[The_Kennel_Club|The Kennel Club (UK)]"", ""[Canadian_Kennel_Club|Canadian Kennel Club]"", ""[American_Kennel_Club|American Kennel Club]""]","[[""[Akita_(dog)|Akita]"", ""Utility Group"", ""Utility Group"", ""Group 5 Spitz and Primitive types/Section 5: Asian Spitz and related breeds (no.344)"", ""Utility Group"", ""Only one breed of Akita, in Group 3 Working Dogs"", ""Only one breed of Akita, in the Working Group""], [""[Akita_(dog)|Japanese Akita]"", ""Utility Group"", ""Utility Group"", ""Group 5 Spitz and Primitive types/Section 5: Asian Spitz and related breeds (no.255)"", ""Utility Group"", ""Only one breed of Akita recognised"", ""Only one breed of Akita recognised""], [""[Alaskan_Malamute|Alaskan Malamute]"", ""Utility Group"", ""Utility Group"", ""Group 5 \""Spitz and Primitive types\"""", ""not recognised"", ""Group 3 Working Dogs"", ""Working Group""]]"
table-0397-716,Jicamarca Radio Observatory,Coherent scatter echoes,Coherent scatter echoes,"[""[Echo|Echoes]"", ""Abbr."", ""Altitude (km)"", ""Time of the day"", ""[Decibel|dB]""]","[[""[Echo|Echoes]"", ""Abbr."", ""Altitude (km)"", ""Time of the day"", ""[Decibel|dB]""], [""[Equatorial_electrojet|Equatorial Electrojet]"", ""EEJ"", ""95-110 90-130"", ""[Daytime|Daytime]"", ""30-60 20-50""], [""150km echoes"", ""150km"", ""130-170"", ""[Daytime|Daytime]"", ""10-30""]]"
table-0397-906,Northern Breed Group,Major registries,United Kennel Club Northern Breed Group compared to Group placement of breeds by other major kennel clubs in the English-speaking world Fédération Cynologique Internationale breed nomenclature The Kennel Club Dog Groups Australian National Kennel Council breeds by group New Zealand Kennel Club Groups Canadian Kennel Club breeds and Groups American Kennel Club complete breed list,"[""Breed"", ""[F\u00e9d\u00e9ration_Cynologique_Internationale|F\u00e9d\u00e9ration Cynologique Internationale]"", ""[The_Kennel_Club|The Kennel Club (UK)]"", ""[Canadian_Kennel_Club|Canadian Kennel Club]"", ""[American_Kennel_Club|American Kennel Club]"", ""[Australian_National_Kennel_Council|Australian National Kennel Council]"", ""[New_Zealand_Kennel_Club|New Zealand Kennel Club]""]","[[""[Akita_(dog)|Akita]"", ""Group 5 Spitz and Primitive types/Section 5 : Asian Spitz and related breeds (two breeds, Akita and American Akita)"", """", """", ""[Working_Group_(dogs)|Group 3 Working Dogs]"", """", """"], [""[Alaskan_Klee_Kai|Alaskan Klee Kai]"", ""Recgonised by the United Kennel Club"", """", """", ""recognised| |"", """", """"], [""[Alaskan_Malamute|Alaskan Malamute]"", ""Group 5 Spitz and Primitive types/Section 1 : Nordic Sledge Dogs"", """", ""[Working_Group_(dogs)|Group 3 Working Dogs]"", ""[Working_Group_(dogs)|Working Group]"", """", """"]]"
table-0397-907,Scenthound Group,Coonhounds,United Kennel Club Scenthound Group Tree Hound breeds compared to Group placement by other major kennel clubs in the English-speaking world Fédération Cynologique Internationale breed nomenclature The Kennel Club Dog Groups Australian National Kennel Council breeds by group New Zealand Kennel Club Groups Canadian Kennel Club breeds and Groups American Kennel Club complete breed list,"[""Breed"", ""[F\u00e9d\u00e9ration_Cynologique_Internationale|F\u00e9d\u00e9ration Cynologique Internationale]"", ""[The_Kennel_Club|The Kennel Club (UK)]"", ""[Canadian_Kennel_Club|Canadian Kennel Club]"", ""[American_Kennel_Club|American Kennel Club]"", ""[Australian_National_Kennel_Council|Australian National Kennel Council]"", ""[New_Zealand_Kennel_Club|New Zealand Kennel Club]""]","[[""American Black &amp; Tan Coonhound"", ""Group6 Scenthounds and Related Breeds/Section 1 : Scenthounds 1.1 Large-sized Hounds"", ""not recognised"", ""[Hound_Group|Group 2 Hounds]"", ""[Hound_Group|Hound Group]"", ""not recognised"", ""not recognised""], [""[Catahoula_Cur|American Leopard Hound]"", ""not recognised"", ""not recognised"", ""not recognised"", ""Foundation Stock Service for Catahoula Leopard Dog"", ""not recognised"", ""not recognised""], [""[Bluetick_Coonhound|Bluetick Coonhound]"", ""not recognised"", ""not recognised"", ""not recognised"", ""Miscellaneous Class"", ""[Hound_Group|Group 4 (Hounds)]"", ""[Hound_Group|Hound Group]""]]"
table-0397-909,Scenthound Group,Scenthound Group breeds other than coonhounds and curs,United Kennel Club Scenthound Group breeds compared to Group placement by other major kennel clubs in the English-speaking world,"[""Breed"", ""[F\u00e9d\u00e9ration_Cynologique_Internationale|F\u00e9d\u00e9ration Cynologique Internationale]"", ""[The_Kennel_Club|The Kennel Club (UK)]"", ""[Canadian_Kennel_Club|Canadian Kennel Club]"", ""[American_Kennel_Club|American Kennel Club]"", ""[Australian_National_Kennel_Council|Australian National Kennel Council]"", ""[New_Zealand_Kennel_Club|New Zealand Kennel Club]""]","[[""[Alpine_Dachsbracke|Alpine Dachsbracke]"", ""(Alpenl\u00e4ndische Dachsbracke) Group 6 Scenthounds and Related Breeds/Section 2 : Leash (scent) Hounds (Austria)"", ""not recognised"", ""not recognised"", """", ""not recognised"", ""not recognised""], [""[American_Foxhound|American Foxhound]"", ""Group 6 Scenthounds and Related Breeds/Section 1 : Scenthounds"", ""not recognised"", ""[Hound_Group|Group 2 Hounds]"", ""[Hound_Group|Hound Group]"", ""not recognised"", ""not recognised""], [""[English_Foxhound|English Foxhound]"", ""Group6 Scenthounds and Related Breeds/Section 1 : Scenthounds 1.1 Large-sized Hounds"", ""[Hound_Group|Hound Group]"", ""[Hound_Group|Group 2 Hounds]"", ""[Hound_Group|Hound Group]"", ""[Hound_Group|Group 4 (Hounds)]"", ""[Hound_Group|Hound Group]""]]"
table-0398-518,Shawn Johnson,Senior career history,Senior career history,"[""Year"", ""Competition Description"", ""Location"", ""Apparatus"", ""Rank-Final"", ""Score-Final"", ""Rank-Qualifying"", ""Score-Qualifying""]","[[""2008"", ""[2008_Summer_Olympics|2008 Summer Olympics]"", ""[Beijing|Beijing]"", ""All Around"", ""2"", ""62.725"", ""1"", ""62.725""], [""2008"", ""[2008_Summer_Olympics|2008 Summer Olympics]"", ""[Beijing|Beijing]"", ""Team"", ""2"", ""186.525"", ""2"", ""246.800""], [""2008"", ""[2008_Summer_Olympics|2008 Summer Olympics]"", ""[Beijing|Beijing]"", ""Floor Exercise"", ""2"", ""15.500"", ""3"", ""15.425""]]"
table-0400-968,List of Ashden Award winners,Winners in 2007,Winners in 2007,"[""Category"", ""Country/region"", ""Organisation"", ""Award-winning work""]","[[""Outstanding achievement"", ""India"", ""[SELCO_India|SELCO_India]"", ""Making solar energy affordable yet commercially viable""], [""Enterprise"", ""China"", ""Daxu Ltd"", ""New stove designed to burn crop waste transforms the lives of rural users""], [""Enterprise"", ""Nepal"", ""Centre for Rural Technology, Nepal"", ""Upgraded water mills benefit millers and villagers in the Himalayas""]]"
table-0400-969,List of Ashden Award winners,Winners in 2006,Winners in 2006,"[""Category"", ""Country/region"", ""Organisation"", ""Award-winning work""]","[[""Food"", ""India"", ""VK-Nardep"", ""Adding value to the residue from biogas plants""], [""Food"", ""India"", ""Appropriate Rural Technology Institute (ARTI)"", ""Compact digester for producing biogas from food waste""], [""Food"", ""Cambodia"", ""Groupe Energies Renouvelables, Environnement et Solidarit\u00e9s(GERES)"", ""Commercialisation of efficient charcoal stoves in Cambodia""]]"
table-0401-152,Worlds of Fun,Current attractions,Current attractions,"[""Attraction"", ""Type"", ""Opened"", ""Location""]","[[""Asylum Island"", ""Maze"", ""2006"", ""Oceans of Fun Pavilion""], [""BloodShed"", ""Maze"", ""2007"", ""Planet Snoopy""], [""CarnEvil"", ""Scare Zone"", ""2007"", ""Americana""]]"
table-0401-153,Worlds of Fun,Former Haunt attractions,Former Haunt attractions,"[""Attraction Name"", ""Replaced By"", ""Year closed""]","[[""Camp Gonnagitcha Wichahatchet"", ""Corn Stalkers"", ""2009""], [""Carnival of Carnivorous Clowns"", ""CarnEvil"", ""2006""], [""Dominion of Doom"", ""London Terror"", ""2010""]]"
table-0401-729,Goat,Nutrition,Basic composition of various milks (mean values per 100g),"[""Constituent"", ""Doe (Goat)"", ""Cow"", ""Human""]","[[""Fat (g)"", ""3.8"", ""3.6"", ""4.0""], [""Protein (g)"", ""3.5"", ""3.3"", ""1.2""], [""Lactose (g)"", ""4.1"", ""4.6"", ""6.9""]]"
table-0401-930,Battery (electricity),Rechargeable battery chemistries,Rechargeable battery chemistries,"[""Chemistry"", ""Cell Voltage"", ""Specific Energy [MJ/kg]"", ""Comments""]","[[""[Nickel\u2013cadmium_battery|NiCd]"", ""1.2"", ""0.14"", ""Inexpensive. High/low drain, moderate energy density. Can withstand very high discharge rates with virtually no loss of capacity. Moderate rate of self discharge. Environmental hazard due to Cadmium \u2013 use now virtually prohibited in Europe.""], [""[Lead\u2013acid_battery|Lead\u2013acid]"", ""2.1"", ""0.14"", ""Moderately expensive. Moderate energy density. Moderate rate of self discharge. Higher discharge rates result in considerable loss of capacity. Environmental hazard due to Lead. Common use \u2013 Automobile batteries""], [""[Nickel\u2013metal_hydride_battery|NiMH]"", ""1.2"", ""0.36"", ""[Nickel\u2013metal_hydride_battery|low self-discharge rate]""]]"
table-0402-134,Protist,Metabolism,Nutritional types in protist metabolism,"[""Nutritional type"", ""Source of energy"", ""Source of carbon"", ""Examples""]","[[""[Phototroph|Phototroph]"", ""Sunlight"", ""Organic compounds or carbon fixation"", ""[Algae|Algae]""], [""[Organotroph|Organotroph]"", ""Organic compounds"", ""Organic compounds"", ""[Apicomplexa|Apicomplexa]""]]"
table-0402-154,Archaea,Metabolism,Nutritional types in archaeal metabolism,"[""Nutritional type"", ""Source of energy"", ""Source of carbon"", ""Examples""]","[[""[Phototroph|Phototroph]"", ""Sunlight"", ""Organic compounds"", ""[Haloarchaea|Haloarchaea]""], [""[Lithotroph|Lithotroph]"", ""Inorganic compounds"", ""[Carbon_fixation|carbon fixation]"", ""[Ferroglobus|Ferroglobus]""], [""[Organotroph|Organotroph]"", ""Organic compounds"", ""[Carbon_fixation|carbon fixation]"", ""[Pyrococcus|Pyrococcus]""]]"
table-0402-824,Northwestern United States,Population,Population,"[""Rank"", ""City"", ""State"", ""Population"", ""Metro Population""]","[[""1"", ""[Seattle|Seattle]"", ""[Washington_(state)|Washington]"", ""608,660"", ""3,439,809""], [""2"", ""[Portland,_Oregon|Portland]"", ""[Oregon|Oregon]"", ""583,776"", ""2,226,009""], [""3"", ""[Anchorage,_Alaska|Anchorage]"", ""[Alaska|Alaska]"", ""291,826"", ""380,821""]]"
table-0403-805,Anabolic steroid,Anabolic and androgenic effects,Anabolic and androgenic effects,"[""Relative androgenic:anabolic activity in animals"", ""Relative androgenic:anabolic activity in animals""]","[[""[Testosterone|Testosterone]"", ""1:1""], [""[Methyltestosterone|Methyltestosterone]"", ""1:1""], [""[Fluoxymesterone|Fluoxymesterone]"", ""1:2""]]"
table-0404-288,Foreign relations of Mexico,EU Candidate Countries,EU Candidate Countries,"[""Country"", ""Formal Relations Began"", ""Notes""]","[[""[Republic_of_Macedonia|Republic of Macedonia]"", ""2001-10-04"", ""[Republic_of_Macedonia|Republic of Macedonia]""], [""[Turkey|Turkey]"", ""1928"", ""[Mexico\u2013Turkey_relations|Mexico\u2013Turkey relations]""]]"
table-0405-96,List of United States colleges and universities by enrollment,US Department of Education Ranking,US Department of Education Ranking,"[""Largest U.S. colleges and universities by total enrollment"", ""Largest U.S. colleges and universities by total enrollment"", ""Largest U.S. colleges and universities by total enrollment"", ""Largest U.S. colleges and universities by total enrollment"", ""Largest U.S. colleges and universities by total enrollment""]","[[""Ranking"", ""College"", ""Location"", ""Enrollment"", ""Year""], [""1"", ""[City_University_of_New_York|City University of New York]"", ""[New_York_City|New York, New York]"", ""540,000"", """"], [""2"", ""[State_University_of_New_York|State University of New York]"", ""[New_York|New York State]"", ""467,991"", ""2010""]]"
table-0405-992,2008–09 New Zealand Football Championship,Participating clubs,Participating clubs,"["""", ""Club Name"", ""Home City"", ""Stadium"", ""2008-09 Placing"", ""Notes""]","[["""", ""[Auckland_City_FC|Auckland City FC]"", ""[Auckland|Auckland]"", ""[Kiwitea_Street|Kiwitea Street]"", ""2nd"", ""2008-09 Championship O-League 2009-10""], ["""", ""[Canterbury_United_FC|Canterbury United]"", ""[Christchurch|Christchurch]"", ""[English_Park|English Park]"", ""8th"", ""2008-09 Wooden Spoon""], ["""", ""[Hawke's_Bay_United_FC|Hawke's Bay United]"", ""[Napier,_New_Zealand|Napier]"", ""[Park_Island,_Napier|Bluewater Stadium]"", ""5th"", """"]]"
table-0406-134,Belarus at the Olympics,Summer Olympics,Summer Olympics,"[""Medal"", ""Name"", ""Games"", ""Sport"", ""Event""]","[[""Gold"", ""[Andrei_Aramnau|Andrei Aramnau]"", ""[2008_Summer_Olympics|2008 Beijing]"", ""[Weightlifting_at_the_2008_Summer_Olympics|Weightlifting]"", ""[Weightlifting_at_the_2008_Summer_Olympics_\u2013_Men's_105_kg|Men's 105 kg]""], [""Gold"", ""[Aksana_Miankova|Aksana Miankova]"", ""[2008_Summer_Olympics|2008 Beijing]"", ""[Athletics_at_the_2008_Summer_Olympics|Athletics]"", ""[Athletics_at_the_2008_Summer_Olympics_\u2013_Women's_hammer_throw|Women's hammer throw]""], [""Gold"", ""[Andrei_Bahdanovich|Andrei Bahdanovich]"", ""[2008_Summer_Olympics|2008 Beijing]"", ""[Canoeing_at_the_2008_Summer_Olympics|Canoeing]"", ""[Canoeing_at_the_2008_Summer_Olympics_\u2013_Men's_C-2_1000_metres|Men's C-2 1000 m]""]]"
table-0406-281,Labour Party (UK),Labour Prime Ministers,Labour Prime Ministers,"[""[Name|Name]"", ""[Portrait|Portrait]"", ""[Country|Country of birth]"", ""[History_of_the_Labour_Party_(UK)|Periods in Office]""]","[[""[Ramsay_MacDonald|Ramsay MacDonald]"", """", ""Scotland"", ""[1924_vote_of_no_confidence_against_the_government_of_Stanley_Baldwin|1924]""], [""[Clement_Attlee|Clement Attlee]"", """", ""England"", ""[United_Kingdom_general_election,_1945|1945]""], [""[Harold_Wilson|Harold Wilson]"", """", ""England"", ""[United_Kingdom_general_election,_1964|1964]""]]"
table-0406-400,Comparison of Malaysian and Indonesian,Table of comparison,Table of comparison,"[""English"", ""Indonesian"", ""Malaysian""]","[[""[Abortion|Abortion]"", ""Aborsi"", ""Pengguguran""], [""Accurate"", ""Akurat, more commonly used:Tepat"", ""Tepat""], [""Accessibility"", ""Aksesibilitas (also used: Keterjangkauan, ketercapaian)"", ""Kebolehcapaian; ketercapaian""]]"
table-0407-338,Israel at the Paralympics,Medal tables,Medal tables,"[""Team (IOC code)"", ""\u2116 Summer"", ""Gold"", ""Bronze"", ""Total""]","[[""[Israel_at_the_Olympics|Israel]"", ""14"", ""124"", ""132"", ""380""]]"
table-0407-989,Discovery and exploration of the Solar System,Exploration survey,Solar System,"["""", """", """", """", """", """", """"]","[[""[Sun|Sun]"", ""[Jupiter|Jupiter]"", ""[Saturn|Saturn]"", ""[Uranus|Uranus]"", ""[Neptune|Neptune]"", ""[Earth|Earth]"", ""[Venus|Venus]""], ["""", """", """", """", """", """", """"], [""[Mars|Mars]"", ""[Ganymede_(moon)|Ganymede]"", ""[Titan_(moon)|Titan]"", ""[Mercury_(planet)|Mercury]"", ""[Callisto_(moon)|Callisto]"", ""[Io_(moon)|Io]"", ""[Moon|Moon]""]]"
table-0408-468,Natural gas in Alaska,,Gas pipeline,"[""Share of total US gas consumption (percentage)"", ""Share of total US gas consumption (percentage)"", ""Share of total US gas consumption (percentage)"", ""Share of total US gas consumption (percentage)"", ""Share of total US gas consumption (percentage)"", ""Share of total US gas consumption (percentage)"", ""Share of total US gas consumption (percentage)""]","[[""Residential"", ""0.35"", ""0.33"", ""0.33"", ""0.37"", ""0.37"", ""0.47""], [""Commercial"", ""0.52"", ""0.50"", ""0.54"", ""0.59"", ""0.56"", ""0.65""], [""Industrial"", ""0.92"", ""0.88"", ""0.58"", ""0.65"", ""0.80"", ""0.58""]]"
table-0410-214,Canton of Maromme,Composition,Composition,"[""Commune"", ""Inhabitants"", ""Postal code"", ""[INSEE_code|INSEE code]""]","[[""[Canteleu|Canteleu]"", ""15430"", ""76380"", ""76157""], [""[Maromme|Maromme]"", ""12411"", ""76150"", ""76410""]]"
table-0410-847,Mazda CX-7,Engine,Engine,"[""Model"", ""Years"", ""Type"", ""Power, torque@rpm""]","[[""CX-7 i"", ""2009-"", ""cc (L; cu in) I4"", ""bhp (kW)@6000, lb\u00b7ft (N\u00b7m)@3500""], [""CX-7 s"", ""2009-"", ""cc (L; cu in) I4 turbo"", ""bhp (kW)@5000, lb\u00b7ft (N\u00b7m)@2500""], [""UK models"", ""UK models"", ""UK models"", ""UK models""]]"
table-0412-643,Xerox 820,Disk storage,Disk storage,"[""Component"", ""Capacity"", ""Tracks/disk"", ""Sectors/track"", ""Bytes/sector"", ""Notes""]","[[""Dual 5.25\"" single-sided floppy drives"", ""81K usable single density, 155K double density"", ""40"", ""18 or 17"", ""128 or 256"", ""All floppy disks are soft-sectored""], [""[Double-sided_disk|double-sided]"", ""172K usable SD, 322K DD"", ""80"", ""18 or 17"", ""128 or 256"", """"], [""Dual 8\"" single-sided floppy drives"", ""241K usable SD, 482K DD"", ""77"", ""26"", ""128 or 256"", """"]]"
table-0413-661,International security,UNDP human security proposal,Components of human security as per the HDR 1994 report,"[""Type of security"", ""Definition"", ""Threats""]","[[""Economic security"", ""An assured basic income"", ""Poverty, unemployment, indebtedness, lack of income""], [""Food security"", ""Physical and economic access to basic food"", ""Hunger, famines and the lack of physical and economic access to basic food""], [""Health security"", ""Protection from diseases and unhealthy lifestyles"", ""Inadequate health care, new and recurrent diseases including epidemics and pandemics, poor nutrition and unsafe environment, unsafe lifestyles""]]"
table-0415-112,Culture of Tonga,Rank and language,Rank and language,"["""", ""List of words used by rank."", ""List of words used by rank."", ""List of words used by rank."", ""List of words used by rank.""]","[[""Commoners"", ""Chiefs & Nobles"", ""Royals"", ""[English_language|English]"", """"], [""putu"", ""me'afaka'eiki"", ""me'afaka'eiki"", ""funeral"", """"], [""fanau'i"", ""fa'ele'i"", ""fakahifo'i"", ""give birth"", """"]]"
table-0415-192,Fort Boyard (TV series),International versions,International versions,"[""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)"", ""Table of countries and format used in all versions (1990\u2013present)""]","[[""Country"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""1990\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2000\u20139"", ""2010\u2014"", ""2010\u2014"", ""2010\u2014"", ""2010\u2014""], [""Country"", ""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0"", ""1"", ""2"", ""3""], [""[Azerbaijan|Azerbaijan]"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]]"
table-0415-464,Chairman of the Council of Ministers of Bosnia and Herzegovina,Prime Ministers of PR Bosnia and Herzegovina (1945–1953),Prime Ministers of PR Bosnia and Herzegovina (1945–1953),"[""#"", ""Portrait"", ""Name (Born-Died)"", ""Term of Office"", ""Term of Office"", ""Party""]","[[""1"", """", ""[Rodoljub_\u010colakovi\u0107|Rodoljub \u010colakovi\u0107]"", ""27 April 1945"", ""September 1948"", ""[League_of_Communists_of_Bosnia_and_Herzegovina|KP BiH]""], [""2"", """", ""[\u0110uro_Pucar|\u0110uro Pucar]"", ""September 1948"", ""March 1953"", ""[League_of_Communists_of_Bosnia_and_Herzegovina|KP BiH]""]]"
table-0417-972,Alawite State,Population,1923 Census of Alawite territory,"["""", ""[Alawites|Alawites]"", ""[Sunni_Islam|Sunni_Islam]"", ""[Isma'ilism|Isma'ilism]"", ""[Syriac_Christianity|Christian]""]","[[""Population"", ""101,000"", ""32,000"", ""5,000"", ""36,000""]]"
table-0417-973,Alawite State,Population,1943 Population of the State of Latakia,"["""", ""Latakia, capital city"", ""urban, total"", ""rural, total""]","[[""Population"", ""36,687"", ""41,687"", ""410,820""]]"
table-0418-322,Green Bay Blizzard,2011 Season Schedule,2011 Season Schedule,"[""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division"", ""2011 Great Lakes Division""]","[[""[Green_Bay_Blizzard|Green Bay Blizzard]"", ""11"", ""3"", ""0"", ""0.786"", ""764"", ""508"", ""4-2"", ""---"", ""W4""], [""[Bloomington_Edge|Bloomington Extreme]"", ""9"", ""5"", ""0"", ""0.643"", ""561"", ""473"", ""4-2"", ""2.0"", ""L1""], [""[Chicago_Slaughter|Chicago Slaughter]"", ""8"", ""6"", ""0"", ""0.571"", ""624"", ""627"", ""4-2"", ""3.0"", ""L3""]]"
